"Date","Price","Open","High","Low","Change %"
"May 15","7.815","7.875","8.007","7.809","-0.57%"
"Apr 15","7.860","7.722","7.873","7.711","1.58%"
"Mar 15","7.738","7.738","7.811","7.648","0.18%"
"Feb 15","7.724","7.700","7.752","7.640","0.43%"
"Jan 15","7.691","7.852","7.918","7.672","-2.09%"
"Dec 14","7.855","8.058","8.110","7.780","-2.87%"
"Nov 14","8.087","8.262","8.266","8.059","-2.31%"
"Oct 14","8.278","8.511","8.511","8.255","-2.74%"
"Sep 14","8.511","8.563","8.563","8.423","-0.56%"
"Aug 14","8.559","8.747","8.890","8.479","-1.82%"
"Jul 14","8.718","8.739","8.840","8.634","-0.30%"
"Jun 14","8.744","8.652","8.785","8.497","1.15%"
"May 14","8.645","8.816","8.875","8.600","-2.07%"
"Apr 14","8.828","8.863","9.129","8.811","0.27%"
"Mar 14","8.804","8.865","8.925","8.695","-0.65%"
"Feb 14","8.862","8.774","8.943","8.659","1.05%"
"Jan 14","8.770","8.828","8.878","8.493","-0.57%"
"Dec 13","8.820","9.058","9.190","8.743","-2.48%"
"Nov 13","9.044","8.658","9.144","8.638","4.86%"
"Oct 13","8.625","8.713","8.743","8.396","-1.61%"
"Sep 13","8.766","8.588","8.901","8.163","1.98%"
"Aug 13","8.596","8.172","9.484","8.038","5.19%"
"Jul 13","8.172","7.463","8.481","7.409","9.85%"
"Jun 13","7.439","7.424","7.592","7.192","-0.05%"
"May 13","7.443","7.713","7.801","7.315","-3.73%"
"Apr 13","7.731","7.960","8.007","7.711","-2.77%"
"Mar 13","7.951","7.855","7.991","7.832","1.00%"
"Feb 13","7.872","7.925","7.939","7.782","-0.51%"
"Jan 13","7.912","7.984","8.010","7.791","-1.70%"
"Dec 12","8.049","8.169","8.187","8.035","-1.54%"
"Nov 12","8.175","8.221","8.237","8.163","-0.49%"
"Oct 12","8.215","8.147","8.221","8.114","0.81%"
"Sep 12","8.149","8.236","8.236","8.118","-1.12%"
"Aug 12","8.241","8.243","8.280","8.108","-0.05%"
"Jul 12","8.245","8.434","8.434","8.018","-1.61%"
"Jun 12","8.380","8.359","8.459","8.245","0.04%"
"May 12","8.377","8.703","8.703","8.364","-3.39%"
"Apr 12","8.671","8.514","8.757","8.312","1.15%"
"Mar 12","8.572","8.209","8.630","8.199","4.55%"
"Feb 12","8.199","8.133","8.273","8.099","-0.82%"
"Jan 12","8.267","8.633","8.633","8.109","-3.42%"
"Dec 11","8.560","8.740","8.740","8.276","-2.04%"
"Nov 11","8.738","8.956","9.132","8.730","-1.59%"
"Oct 11","8.879","8.506","8.879","8.506","5.18%"
"Sep 11","8.442","8.338","8.442","8.281","1.48%"
"Aug 11","8.319","8.428","8.461","8.192","-1.60%"
"Jul 11","8.454","8.357","8.472","8.238","1.54%"
"Jun 11","8.326","8.357","8.397","8.196","-1.01%"
"May 11","8.411","8.148","8.461","8.139","3.39%"
"Apr 11","8.135","7.989","8.135","7.964","1.88%"
"Mar 11","7.985","8.016","8.018","7.931","-0.09%"
"Feb 11","7.992","8.145","8.212","7.992","-1.91%"
"Jan 11","8.148","7.950","8.234","7.950","2.97%"
"Dec 10","7.913","8.083","8.219","7.893","-1.90%"
"Nov 10","8.066","8.115","8.115","7.937","-0.68%"
"Oct 10","8.121","7.896","8.177","7.896","3.43%"
"Sep 10","7.852","7.942","8.009","7.833","-1.06%"
"Aug 10","7.936","7.857","8.067","7.784","1.70%"
"Jul 10","7.803","7.521","7.803","7.521","3.20%"
"Jun 10","7.561","7.564","7.686","7.463","-0.04%"
"May 10","7.564","8.070","8.070","7.368","-6.17%"
"Apr 10","8.061","7.843","8.124","7.772","2.69%"
"Mar 10","7.850","7.920","8.015","7.738","-0.18%"
"Feb 10","7.864","7.584","7.923","7.584","3.60%"
"Jan 10","7.591","7.706","7.806","7.538","-1.15%"
"Dec 09","7.679","7.260","7.739","7.260","5.82%"
"Nov 09","7.257","7.288","7.359","7.168","-0.67%"
"Oct 09","7.306","7.194","7.462","7.164","1.26%"
"Sep 09","7.215","7.215","7.215","7.215","-2.95%"
"Aug 09","7.434","7.434","7.434","7.434","6.23%"
"Jul 09","6.998","6.998","6.998","6.998","-0.21%"
"Jun 09","7.013","7.013","7.013","7.013","4.52%"
"May 09","6.710","6.710","6.710","6.710","7.50%"
"Apr 09","6.242","6.242","6.242","6.242","-11.01%"
"Mar 09","7.014","7.014","7.014","7.014","10.84%"
"Feb 09","6.328","6.328","6.328","6.328","2.28%"
"Jan 09","6.187","6.187","6.187","6.187","17.62%"
"Dec 08","5.260","5.260","5.260","5.260","-25.71%"
"Nov 08","7.080","7.080","7.080","7.080","-5.32%"
"Oct 08","7.478","7.478","7.478","7.478","-13.22%"
"Sep 08","8.617","8.617","8.617","8.617","-0.95%"
"Aug 08","8.700","8.700","8.700","8.700","-6.61%"
"Jul 08","9.316","9.316","9.316","9.316","6.92%"
"Jun 08","8.713","8.713","8.713","8.713","7.55%"
"May 08","8.101","8.101","8.101","8.101","1.82%"
"Apr 08","7.956","7.956","7.956","7.956","0.23%"
"Mar 08","7.938","7.938","7.938","7.938","4.89%"
"Feb 08","7.568","7.568","7.568","7.568","0.52%"
"Jan 08","7.529","7.529","7.529","7.529","-3.36%"
"Dec 07","7.791","7.791","7.791","7.791","-1.44%"
"Nov 07","7.905","7.905","7.905","7.905","0.84%"
"Oct 07","7.839","7.839","7.839","7.839","-1.09%"
"Sep 07","7.925","7.925","7.925","7.925","-0.06%"
"Aug 07","7.930","7.930","7.930","7.930","1.08%"
"Jul 07","7.845","7.845","7.845","7.845","-4.18%"
"Jun 07","8.187","8.187","8.187","8.187","1.32%"
"May 07","8.080","8.080","8.080","8.080","-1.14%"
"Apr 07","8.173","8.173","8.173","8.173","1.88%"
"Mar 07","8.022","8.022","8.022","8.022","0.28%"
"Feb 07","8.000","8.000","8.000","8.000","3.39%"
"Jan 07","7.738","7.738","7.738","7.738","1.56%"
"Dec 06","7.619","7.619","7.619","7.619","2.63%"
"Nov 06","7.424","7.424","7.424","7.424","-2.64%"
"Oct 06","7.625","7.625","7.625","7.625","-0.22%"
"Sep 06","7.642","7.642","7.642","7.642","-3.16%"
"Aug 06","7.891","7.891","7.891","7.891","-4.21%"
"Jul 06","8.238","8.238","8.238","8.238","1.07%"
"Jun 06","8.151","8.151","8.151","8.151","6.42%"
"May 06","7.659","7.659","7.659","7.659","3.64%"
"Apr 06","7.390","7.390","7.390","7.390","-2.12%"
"Mar 06","7.550","7.550","7.550","7.550","2.12%"
"Feb 06","7.393","7.393","7.393","7.393","0.28%"
"Jan 06","7.372","7.372","7.372","7.372","3.68%"
"Dec 05","7.110","7.110","7.110","7.110","0.38%"
"Nov 05","7.083","7.083","7.083","7.083","-0.23%"
"Oct 05","7.099","7.099","7.099","7.099","-0.03%"
"Sep 05","7.101","7.101","7.101","7.101","0.10%"
"Aug 05","7.094","7.094","7.094","7.094","1.43%"
"Jul 05","6.994","6.994","6.994","6.994","1.26%"
"Jun 05","6.907","6.907","6.907","6.907","-1.03%"
"May 05","6.979","6.979","6.979","6.979","-5.14%"
"Apr 05","7.357","7.357","7.357","7.357","10.20%"
"Mar 05","6.676","6.676","6.676","6.676","1.94%"
"Feb 05","6.549","6.549","6.549","6.549","-2.30%"
"Jan 05","6.703","6.703","6.703","6.703","-0.04%"
"Dec 04","6.706","6.706","6.706","6.706","-6.82%"
"Nov 04","7.197","7.197","7.197","7.197","3.82%"
"Oct 04","6.932","6.932","6.932","6.932","11.02%"
"Sep 04","6.244","6.244","6.244","6.244","2.55%"
"Aug 04","6.089","6.089","6.089","6.089","-0.78%"
"Jul 04","6.137","6.137","6.137","6.137","4.91%"
"Jun 04","5.850","5.850","5.850","5.850","10.92%"
"May 04","5.274","5.274","5.274","5.274","3.07%"
"Apr 04","5.117","5.117","5.117","5.117","-0.58%"
"Mar 04","5.147","5.147","5.147","5.147","-2.17%"
"Feb 04","5.261","5.261","5.261","5.261","0.73%"
"Jan 04","5.223","5.223","5.223","5.223","1.97%"
"Dec 03","5.122","5.122","5.122","5.122","-0.70%"
"Nov 03","5.158","5.158","5.158","5.158","1.14%"
"Oct 03","5.100","5.100","5.100","5.100","-1.43%"
"Sep 03","5.174","5.174","5.174","5.174","-1.71%"
"Aug 03","5.264","5.264","5.264","5.264","-6.27%"
"Jul 03","5.616","5.616","5.616","5.616","-1.96%"
"Jun 03","5.728","5.728","5.728","5.728","-1.19%"
"May 03","5.797","5.797","5.797","5.797","-1.45%"
"Apr 03","5.882","5.882","5.882","5.882","-4.00%"
"Mar 03","6.127","6.127","6.127","6.127","2.70%"
"Feb 03","5.966","5.966","5.966","5.966","-5.65%"
"Jan 03","6.323","6.323","6.323","6.323","3.95%"
"Dec 02","6.083","6.083","6.083","6.083","-5.32%"
"Nov 02","6.425","6.425","6.425","6.425","-7.22%"
"Oct 02","6.925","6.925","6.925","6.925","-3.39%"
"Sep 02","7.168","7.168","7.168","7.168","0.10%"
"Aug 02","7.161","7.161","7.161","7.161","-2.01%"
"Jul 02","7.308","7.308","7.308","7.308","-2.36%"
"Jun 02","7.485","7.485","7.485","7.485","-3.08%"
"May 02","7.723","7.723","7.723","7.723","4.22%"
"Apr 02","7.410","7.410","7.410","7.410","0.69%"
"Mar 02","7.359","7.359","7.359","7.359","-3.51%"
"Feb 02","7.627","7.627","7.627","7.627","-0.55%"
"Jan 02","7.669","7.669","7.669","7.669","-3.40%"
"Dec 01","7.939","7.939","7.939","7.939","0.75%"
"Nov 01","7.880","7.880","7.880","7.880","-10.45%"
"Oct 01","8.800","8.800","8.800","8.800","-3.53%"
"Sep 01","9.122","9.122","9.122","9.122","0.09%"
"Aug 01","9.114","9.114","9.114","9.114","-2.66%"
"Jul 01","9.363","9.363","9.363","9.363","-1.45%"
"Jun 01","9.501","9.501","9.501","9.501","-2.67%"
"May 01","9.762","9.762","9.762","9.762","-3.59%"
"Apr 01","10.125","10.125","10.125","10.125","-2.01%"
"Mar 01","10.333","10.333","10.333","10.333","2.53%"
"Feb 01","10.078","10.078","10.078","10.078","-3.32%"
"Jan 01","10.424","10.424","10.424","10.424","-4.23%"
"Dec 00","10.884","10.884","10.884","10.884","-4.09%"
"Nov 00","11.348","11.348","11.348","11.348","-2.17%"
"Oct 00","11.600","11.600","11.600","11.600","0.52%"
"Sep 00","11.540","11.540","11.540","11.540","0.30%"
"Aug 00","11.505","11.505","11.505","11.505","1.33%"
"Jul 00","11.354","11.354","11.354","11.354","2.67%"
"Jun 00","11.059","11.059","11.059","11.059","2.14%"
"May 00","10.827","10.827","10.827","10.827","4.47%"
"Apr 00","10.364","10.364","10.364","10.364","-3.64%"
"Mar 00","10.756","10.756","10.756","10.756","3.37%"
"Feb 00","10.405","10.405","10.405","10.405","-4.52%"
"Jan 00","10.897","10.897","10.897","10.897","-2.68%"
